,EC,p_value,adjusted_p_value,mean_1,std_1,median_1,mean_0,std_0,median_0,delta_mean,delta_median
1467,"1.17.1.1,2.6.1.59",0.0003542062546048191,0.01974221212321049,0.09454545454545454,0.07958570410268834,0.08,0.024897959183673463,0.06568702692342795,0.0,0.06964749536178108,0.08
1484,"1.17.1.4,1.17.1.5,1.2.5.3",1.651541856364981e-05,0.003892448220901351,0.012727272727272728,0.018136306675690914,0.0,0.0,0.0,0.0,0.012727272727272728,0.0
1511,"1.17.1.9,1.4.1.13,1.4.1.14",0.0013731958724491396,0.0464241506222662,0.17727272727272728,0.1429615910967894,0.18,0.055510204081632646,0.11480349181367007,0.0,0.12176252319109462,0.18
1514,"1.17.1.9,1.7.7.2",0.0005860265095247432,0.02778237170729659,0.9690909090909091,0.7343822951105922,0.72,0.28836734693877547,0.45624620518981207,0.13,0.6807235621521337,0.59
1536,"1.17.7.4,2.5.1.19,2.7.4.25,6.3.2.1",0.00017949407880380995,0.015424406237173782,0.06818181818181818,0.09301204045402664,0.0,0.001836734693877551,0.012725271239281548,0.0,0.06634508348794063,0.0
1539,"1.17.7.4,2.7.4.25",0.0002444291527387782,0.016354789618496672,34.66909090909091,11.504923416082237,31.31,21.739387755102037,7.987681180766065,20.79,12.929703153988875,10.52
1543,"1.17.8.1,1.3.3.15,1.3.3.4,1.3.5.5,1.3.5.6",0.00027086814941959503,0.017117349056824674,1.2236363636363636,1.070397315590403,0.96,0.2863265306122449,0.5063542918628847,0.13,0.9373098330241187,0.83
1562,"1.18.1.2,1.19.1.1,1.3.1.1,1.4.1.13,1.4.1.14",0.00018436448370886516,0.015424406237173782,0.6309090909090909,0.5877763109683285,0.47,0.11714285714285715,0.23035022137995853,0.0,0.5137662337662338,0.47
1589,"1.2.1.12,6.1.1.22",0.0002220850698870011,0.015424406237173782,0.5281818181818182,0.9618998075004597,0.0,0.0,0.0,0.0,0.5281818181818182,0.0
1594,"1.2.1.16,1.2.1.18,1.2.1.20,1.2.1.27,1.2.1.79",0.0006087900705246814,0.02822715316158562,0.02909090909090909,0.03941724252487054,0.0,0.003673469387755102,0.015609243408957503,0.0,0.02541743970315399,0.0
