compound,EC,ro,p_value,adjusted_p_value
Mesotrione,1.14.14.5,0.6756365096314788,3.1735266617464747e-09,4.6642500304204374e-08
Mesotrione,1.4.1.16,0.40119136015209783,0.0014888537584195856,0.004562983959379966
Mesotrione,"3.1.3.2,3.6.1.27",0.3330296731809245,0.009320977293907391,0.02298572316762469
Mesotrione,"2.7.7.15,2.7.7.39",0.4752474686272029,0.00012448878324897378,0.00048671991882796465
Mesotrione,"3.1.3.96,5.4.2.6",0.32075535921081716,0.01246493363068689,0.029555230552436185
Mesotrione,3.5.1.107,0.6241152516461035,9.927931290713992e-08,7.04797114911813e-07
Mesotrione,"3.1.3.1,3.1.4.46,3.4.24.40",0.3010633315465576,0.01941387729701745,0.04266244374562655
Mesotrione,"1.1.3.21,1.1.5.3",0.36121625611242014,0.004574963892563205,0.01233816769387948
Mesotrione,"2.6.1.18,2.6.1.62",0.40119136015209783,0.0014888537584195856,0.004562983959379966
Mesotrione,"3.1.3.1,3.1.3.8,3.1.4.46",0.6710236029756991,4.440666195220529e-09,6.35139247203684e-08
Mesotrione,1.5.99.5,0.7678527988425584,8.151704281920704e-13,3.571120035914717e-11
Mesotrione,"3.2.1.4,3.2.1.58",0.3302088701095849,0.0099748874657037,0.02436860833218781
Mesotrione,"2.7.7.77,2.8.1.12,4.6.1.17",0.7095923836379451,2.1957736087034851e-10,4.064693587432288e-09
Mesotrione,"2.1.3.11,2.1.3.9",0.6672901660461338,5.803126619429485e-09,8.137812382379461e-08
Mesotrione,"4.1.2.41,4.2.1.101,4.2.1.17",0.39629544217235585,0.0017212470692774613,0.005196534401469713
Mesotrione,"1.8.5.7,2.5.1.18",0.3447928245648835,0.006979013296334796,0.01785454666386824
Mesotrione,"2.7.7.7,5.4.99.21",0.5184390725887077,2.2037904999864788e-05,0.00010013286780392876
Mesotrione,"1.1.1.193,3.5.4.25,3.5.4.26,4.1.99.12",0.665187276115663,6.735922803301526e-09,9.333322123757202e-08
Mesotrione,1.4.1.21,0.6781234620602277,2.6411614708295333e-09,3.943853647385203e-08
Mesotrione,1.3.7.1,0.6235503846580448,1.0274323541987577e-07,7.274867128909236e-07
Mesotrione,"1.1.2.4,1.1.5.12",0.675727008784441,3.1524894063001024e-09,4.635033655863633e-08
